price_change, adress, living_area, district, final_price, land_area, date_sold
Tryffelgränd 3; 5 rum, 124 + 61 m²; Villa, Gamla Enskede; 658 m² tomt; 10 jun 2020; +14,4%; 10 525 000 kr
Skönviksvägen 259; 122 + 78 m²; Villa, Enskede; 1 021 m² tomt; 22 maj 2020; +4,6%; 9 150 000 kr
Bandhagsvägen 16; 240 + 80 m²; Villa, Enskede; 1 210 m² tomt; 23 mar 2020; +20,1%; 13 200 000 kr
Bandhagsvägen 16; 240 + 80 m²; Villa, Enskede; 1 210 m² tomt; 20 mar 2020; —; 13 200 000 kr
Victor Balcks väg 193; 86 + 68 m²; Villa, Enskede; 434 m² tomt; 24 apr 2020; +8,0%; 7 020 000 kr
Rörsoppsvägen 18; 124 + 51 m²; Villa, Gamla Enskede; 740 m² tomt; 24 apr 2020; +5,1%; 10 250 000 kr
Tussmötevägen 262; 99 + 46 m²; Villa, Stureby; 812 m² tomt; 4 maj 2020; +19,7%; 8 375 000 kr
Krokvägen 98; 66 + 66 m²; Villa, Enskede; 576 m² tomt; 30 apr 2020; —; 6 200 000 kr
Österbottensvägen 8; 74 + 42 m²; Villa, Enskede; 519 m² tomt; 5 maj 2020; —; 7 800 000 kr
Rapphönsvägen 34; 76 + 66 m²; Villa, Enskede; 567 m² tomt; 14 maj 2020; —; 7 375 000 kr
Husumsgränd 1; 110 + 100 m²; Villa, Enskede; 729 m² tomt; 8 apr 2020; +2,5%; 8 150 000 kr
Sockenvägen 450; 88 + 41 m²; Villa, Enskede; 454 m² tomt; 7 apr 2020; —; 8 000 000 kr
Krokvägen 97; 7 rum, 145 + 80 m²; Villa, Enskede; 496 m² tomt; 20 maj 2020; +28,3%; 10 900 000 kr
Träningsvägen 9; 70 + 65 m²; Villa, Enskede; 533 m² tomt; 1 nov 2019; —; 4 700 000 kr
Krokvägen 73A; 135 + 70 m²; Villa, Enskede; 560 m² tomt; 27 mar 2020; —; 6 650 000 kr
Lessebovägen 106; 152 + 95 m²; Villa, Stureby; 989 m² tomt; 29 apr 2020; +10,1%; 8 750 000 kr
Kålgårdsvägen 24; 98 + 62 m²; Villa, Enskede Gård; 636 m² tomt; 23 apr 2020; +2,9%; 8 900 000 kr
Victor Balcks väg 128; 6 rum, 75 + 75 m²; Villa, Enskede; 303 m² tomt; 30 maj 2020; +0,9%; 6 050 000 kr
Klamparbacken 7; 5 rum, 180 + 67 m²; Villa, Stureby; 898 m² tomt; 28 maj 2020; +9,3%; 10 900 000 kr
Medlemsvägen 52; 130 + 107 m²; Villa, Enskede Gård; 730 m² tomt; 8 maj 2020; +7,2%; 8 575 000 kr
Bägersta Byväg 11; 7 rum, 122 + 66 m²; Villa, Enskedefältet; 478 m² tomt; 14 nov 2019; +10,5%; 10 600 000 kr
Rapphönsvägen 15; 5 rum, 66 + 66 m²; Villa, Enskede; 499 m² tomt; 15 nov 2019; —; 7 950 000 kr
Rapphönsvägen 34; 5 rum, 92 + 43 m²; Villa, Enskede; 567 m² tomt; 14 feb 2020; +5,4%; 7 375 000 kr
Lindevägen 12; 6 rum, 132 + 59 m²; Villa, Enskede Gård; 614 m² tomt; 22 apr 2020; —; 11 000 000 kr
Hemmansvägen 34; 6 rum, 136 + 9 m²; Villa, Gamla Enskede; 525 m² tomt; 6 maj 2020; +9,1%; 9 700 000 kr
Tallkrogsvägen 121; 5 rum, 66 + 61 m²; Villa, Tallkrogen; 497 m² tomt; 21 maj 2020; +6,1%; 5 830 000 kr
Tallkrogsvägen 121; 5 rum, 66 + 61 m²; Villa, Tallkrogen; 497 m² tomt; 21 maj 2020; +6,1%; 5 830 000 kr
Ängsvägen 11; 6 rum, 113 + 57 m²; Villa, Gamla Enskede; 343 m² tomt; 14 maj 2020; +0,0%; 9 000 000 kr
Lilla gränd 2; 6 rum, 148 + 49 m²; Villa, Gamla Enskede; 554 m² tomt; 1 maj 2020; +2,0%; 12 500 000 kr
Vinkelvägen 4; 6 rum, 144 + 64 m²; Villa, Gamla Enskede; 394 m² tomt; 14 maj 2020; —; 14 500 000 kr
Bägersta Byväg 7; 6 rum, 124 + 74 m²; Villa, Enskedefältet; 478 m² tomt; 14 maj 2020; +1,3%; 10 100 000 kr
